BL8 4HG,"1 Tor Avenue, Greenmount, Bury, Greater Manchester",5 
BL8 4HL,"43 Leigh Close, Tottington, Bury, Greater Manchester",-1
BL8 4HN,"6 Greenmount Close, Greenmount, Bury, Greater Manchester",6 
BL8 4HW,"1 Croich Bank, Hawkshaw, Bury, Greater Manchester",3 
BL8 4HG,"22 Tor Avenue, Greenmount, Bury, Greater Manchester",-1
BL8 4HA,"29 Greenmount Drive, Greenmount, Bury, Greater Manchester",4 
BL8 4HL,"41 Leigh Close, Tottington, Bury, Greater Manchester",-1
BL8 4HL,"27 Leigh Close, Tottington, Bury, Greater Manchester",2 
BL8 4HG,"10 Tor Avenue, Greenmount, Bury, Greater Manchester",-1
BL8 4HA,"19 Greenmount Drive, Greenmount, Bury, Greater Manchester",4 
BL8 4HF,"371 Holcombe Road, Greenmount, Bury, Greater Manchester",5 
BL8 4HF,"409 Holcombe Road, Greenmount, Bury, Greater Manchester",-1
BL8 4HG,"9 Tor Avenue, Greenmount, Bury, Greater Manchester",-1
BL8 4HF,"398 Holcombe Road, Greenmount, Bury, Greater Manchester",-1
BL8 4HG,"Tor Cottage, 13 Tor Avenue, Greenmount, Bury, Greater Manchester",-1
BL8 4HG,"4 Tor Avenue, Greenmount, Bury, Greater Manchester",-1
BL8 4HA,"42 Greenmount Drive, Greenmount, Bury, Greater Manchester",-1
BL8 4HF,"406 Holcombe Road, Greenmount, Bury, Greater Manchester",-1
BL8 4HX,"Old Farmhouse, Hollin Grove Barn, Redisher Lane, Hawkshaw, Bury, Greater Manchester",-1
BL8 4HA,"8 Greenmount Drive, Greenmount, Bury, Greater Manchester",5 
BL8 4HZ,"9 Bolton Road, Hawkshaw, Bury, Greater Manchester",5 
BL8 4HX,"Simons House Farm, Redisher Lane, Hawkshaw, Bury, Greater Manchester",-1
BL8 4HA,"4 Greenmount Drive, Greenmount, Bury, Greater Manchester",6 
BL8 4HX,"4, Lower Redisher, Redisher Lane, Hawkshaw, Bury, Greater Manchester",-1
BL8 4HF,"400 Holcombe Road, Greenmount, Bury, Greater Manchester",5 
BL8 4HL,"23 Leigh Close, Tottington, Bury, Greater Manchester",-1
BL8 4HP,"Orchard Cottage, Hollymount Lane, Greenmount, Bury, Greater Manchester",-1
BL8 4HF,"413 Holcombe Road, Greenmount, Bury, Greater Manchester",-1
BL8 4HL,"10 Leigh Close, Tottington, Bury, Greater Manchester",-1
